,HFUEL,HHFAMINC,HOMEOWN,HHSIZE,YOUNGCHILD,HHVEHCNT,URBRUR,HTPPOPDN,PRICE,PLACE,R_AGE_IMP,R_SEX_IMP,EDUC,R_RACE,GT1JBLWK,OCCAT,CARSHARE,TIMETOWK,YEARMILE,VEHAGE
3,0,5,1.0,2.0,0.0,2.0,0,4,2.0,3.0,55,1,5.0,1.0,0,4.0,0,10.0,12000.0,3.0
75,0,3,1.0,1.0,0.0,1.0,1,2,3.0,1.0,28,1,5.0,1.0,0,4.0,0,35.0,400.0,2.0
76,0,3,1.0,1.0,0.0,1.0,0,2,4.0,4.0,24,1,4.0,1.0,0,2.0,0,10.0,2600.0,3.0
145,1,2,0.0,2.0,0.0,0.0,1,6,3.0,2.0,45,0,2.0,1.0,0,3.0,0,5.0,10000.0,2.0
197,0,5,1.0,1.0,0.0,1.0,0,5,2.0,4.0,36,1,2.0,1.0,0,4.0,0,40.0,9000.0,3.0
222,0,4,0.0,1.0,0.0,2.0,1,6,2.0,2.0,63,1,3.0,1.0,0,4.0,0,10.0,7000.0,3.0
297,0,3,1.0,2.0,0.0,1.0,1,2,4.0,3.0,29,0,5.0,3.0,0,4.0,0,20.0,400.0,1.0
301,0,5,0.0,4.0,1.0,2.0,0,3,2.0,2.0,60,0,5.0,1.0,0,4.0,0,90.0,6000.0,3.0
310,0,3,1.0,1.0,0.0,1.0,1,2,4.0,1.0,61,1,3.0,1.0,0,3.0,0,35.0,16000.0,1.0
317,0,5,1.0,3.0,0.0,2.0,1,5,2.0,2.0,45,0,3.0,1.0,0,4.0,0,15.0,6240.0,3.0
340,0,5,1.0,3.0,1.0,2.0,1,7,3.0,4.0,40,1,5.0,1.0,0,4.0,0,10.0,7500.0,3.0
348,0,5,1.0,5.0,3.0,2.0,1,6,3.0,2.0,52,0,4.0,1.0,0,4.0,0,30.0,25000.0,3.0
349,0,5,1.0,2.0,0.0,1.0,0,6,3.0,3.0,48,1,2.0,1.0,0,3.0,0,5.0,15000.0,2.0
353,0,5,1.0,1.0,0.0,1.0,1,4,1.0,2.0,65,1,3.0,1.0,0,4.0,0,30.0,25000.0,1.0
368,0,2,1.0,2.0,0.0,2.0,1,4,1.0,2.0,31,0,3.0,6.0,1,1.0,0,7.0,10000.0,1.0
433,0,1,1.0,4.0,0.0,2.0,1,6,1.0,1.0,62,1,2.0,7.0,0,1.0,0,8.0,3100.0,1.0
471,0,4,0.0,2.0,0.0,2.0,1,6,1.0,2.0,63,1,4.0,1.0,0,1.0,0,40.0,51000.0,3.0
505,1,5,0.0,2.0,0.0,3.0,1,2,5.0,5.0,19,0,3.0,6.0,0,1.0,0,15.0,20000.0,3.0
515,0,5,1.0,3.0,0.0,2.0,1,3,3.0,4.0,58,1,5.0,1.0,0,4.0,0,30.0,9000.0,1.0
540,0,4,1.0,1.0,0.0,1.0,1,1,1.0,3.0,56,1,2.0,1.0,0,3.0,0,10.0,50000.0,3.0
558,0,1,1.0,2.0,0.0,2.0,1,2,2.0,2.0,19,0,2.0,1.0,0,1.0,0,7.0,19832.0,2.0
593,0,5,1.0,1.0,0.0,0.0,1,6,1.0,1.0,34,1,5.0,1.0,0,4.0,0,3.0,15000.0,3.0
598,0,5,1.0,2.0,0.0,2.0,1,1,2.0,2.0,48,0,3.0,1.0,0,2.0,0,40.0,8000.0,2.0
610,0,5,0.0,1.0,0.0,1.0,1,3,3.0,3.0,52,0,4.0,1.0,0,4.0,0,15.0,5000.0,2.0
632,0,5,1.0,2.0,0.0,3.0,1,5,4.0,3.0,64,0,5.0,1.0,0,4.0,0,35.0,20000.0,2.0
657,0,2,1.0,2.0,0.0,2.0,1,3,2.0,2.0,30,0,5.0,2.0,0,4.0,0,7.0,7500.0,1.0
669,0,2,1.0,1.0,0.0,1.0,1,2,2.0,3.0,73,0,3.0,1.0,0,1.0,0,35.0,1500.0,2.0
732,0,2,1.0,5.0,1.0,1.0,0,6,5.0,3.0,42,1,4.0,1.0,0,4.0,0,16.0,16000.0,3.0
750,0,3,0.0,3.0,1.0,2.0,1,4,2.0,2.0,65,0,3.0,1.0,0,1.0,0,10.0,10000.0,3.0
753,0,5,1.0,2.0,0.0,3.0,1,5,2.0,2.0,60,1,4.0,1.0,0,4.0,0,23.0,10000.0,3.0
762,0,5,0.0,1.0,0.0,2.0,1,1,1.0,2.0,38,1,4.0,1.0,0,3.0,0,20.0,18000.0,1.0
770,0,5,1.0,2.0,0.0,3.0,1,2,4.0,4.0,61,1,5.0,1.0,0,4.0,0,22.0,19000.0,2.0
773,0,5,0.0,2.0,0.0,2.0,1,1,4.0,3.0,53,1,3.0,1.0,0,1.0,0,30.0,10000.0,3.0
800,1,5,1.0,2.0,0.0,2.0,1,4,2.0,2.0,58,0,3.0,1.0,0,4.0,0,50.0,35000.0,3.0
808,1,4,0.0,2.0,0.0,1.0,1,6,3.0,4.0,57,1,5.0,6.0,0,4.0,0,45.0,6700.0,1.0
811,0,4,0.0,2.0,0.0,2.0,1,3,3.0,2.0,44,1,3.0,3.0,0,4.0,0,15.0,10000.0,3.0
903,0,3,1.0,2.0,0.0,3.0,1,2,3.0,3.0,59,0,3.0,1.0,0,3.0,0,25.0,11000.0,3.0
909,0,4,1.0,4.0,0.0,3.0,0,6,2.0,4.0,65,1,1.0,1.0,0,1.0,0,10.0,10000.0,1.0
931,0,4,1.0,2.0,0.0,2.0,1,3,4.0,4.0,70,1,4.0,1.0,0,4.0,0,15.0,4500.0,2.0
972,0,4,1.0,2.0,0.0,2.0,1,1,2.0,1.0,67,0,4.0,1.0,1,4.0,0,15.0,7500.0,1.0
974,0,5,0.0,1.0,0.0,0.0,1,2,2.0,4.0,35,0,5.0,1.0,0,4.0,0,15.0,12000.0,3.0
981,0,5,1.0,2.0,0.0,5.0,0,1,2.0,2.0,50,1,4.0,1.0,0,4.0,0,75.0,20000.0,2.0
1000,0,1,1.0,3.0,0.0,3.0,1,2,2.0,3.0,69,0,3.0,1.0,0,4.0,0,20.0,8000.0,3.0
1009,0,5,1.0,2.0,0.0,2.0,1,6,4.0,3.0,33,0,5.0,1.0,0,4.0,0,40.0,10000.0,2.0
1016,0,5,1.0,1.0,0.0,1.0,0,2,4.0,4.0,50,1,5.0,1.0,0,4.0,0,30.0,15000.0,2.0
1019,0,2,1.0,2.0,0.0,1.0,1,1,4.0,2.0,23,0,4.0,1.0,0,4.0,0,15.0,8000.0,3.0
1023,0,3,0.0,3.0,0.0,2.0,1,4,3.0,2.0,42,1,5.0,1.0,0,4.0,0,10.0,5000.0,2.0
1044,0,4,0.0,2.0,0.0,2.0,1,4,2.0,3.0,58,0,2.0,1.0,1,2.0,0,20.0,1000.0,1.0
1055,0,2,1.0,1.0,0.0,2.0,1,5,1.0,3.0,29,1,3.0,1.0,1,1.0,0,30.0,10000.0,2.0
1080,0,5,1.0,2.0,0.0,2.0,0,1,3.0,3.0,49,1,4.0,1.0,0,4.0,0,15.0,15000.0,3.0
1086,0,5,1.0,3.0,1.0,4.0,1,1,4.0,2.0,44,1,2.0,2.0,1,4.0,0,120.0,43200.0,2.0
1089,0,5,0.0,1.0,0.0,1.0,1,3,2.0,2.0,35,1,5.0,1.0,0,4.0,0,100.0,14000.0,1.0
1121,0,4,1.0,1.0,0.0,1.0,1,5,3.0,4.0,50,1,4.0,6.0,1,4.0,0,25.0,15000.0,1.0
1152,0,4,0.0,1.0,0.0,0.0,1,2,1.0,1.0,20,0,3.0,1.0,1,1.0,0,20.0,18000.0,1.0
1172,0,3,1.0,1.0,0.0,1.0,1,5,1.0,1.0,37,1,3.0,1.0,0,3.0,0,20.0,20000.0,3.0
1193,0,2,1.0,2.0,0.0,2.0,1,1,5.0,4.0,46,1,5.0,1.0,0,1.0,0,35.0,34000.0,3.0
1244,0,1,1.0,1.0,0.0,0.0,0,3,4.0,5.0,44,0,3.0,1.0,0,3.0,0,12.0,150.0,3.0
